turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,2380.9530907733983,183195.01244451982,119696.03220187587,360
1,1,555.9813506754709,51102.80166188801,42727.42110685778,360
1,2,470.7284081636983,45869.55752514606,23692.15493113733,360
1,3,563.2079845125766,59341.70506202181,33050.1740514775,360
1,4,791.0353474216523,26880.94819546396,20226.28211240327,360
2,0,2542.541106786889,237137.6190968308,163230.4969440938,411
2,1,559.8097606650274,63501.41303226077,58871.730832171175,411
2,2,399.99287313327625,54595.88864508524,29124.838705541468,411
2,3,598.3276004872499,85144.85587292633,46753.328570388585,411
2,4,984.4108725013353,33895.46154655848,28480.59883599256,411
3,0,2207.718458710914,228613.6505619019,179483.3815173252,411
3,1,420.5533334805758,53492.634702357886,65074.92164014196,411
3,2,411.1220770923751,63706.46488464315,30621.274141732043,411
3,3,428.879716295843,83511.63036577399,51922.03379716374,411
3,4,947.1633318421201,27902.920609126868,31865.151938287443,411
4,0,1383.769680397161,230885.76525914102,189117.02264823762,411
4,1,430.05422570393995,47660.09627620031,72540.70382931727,411
4,2,129.7772040890517,70358.72169946056,30641.374074586944,411
4,3,208.71234677326908,87712.93189296933,54585.84817092361,411
4,4,615.2259038309003,25154.01539051081,31349.096573409788,411
5,0,1541.3572448065972,185181.98490633554,71822.4138924191,411
5,1,357.1911122948786,38458.92227919516,25064.26623109534,411
5,2,381.63271800518754,49722.22836391664,15346.49182179922,411
5,3,320.46796792258965,76950.30328429778,21846.54061388167,411
5,4,482.0654465839413,20050.530978925945,9565.11522564288,411
6,0,2726.250585452978,207532.5699574997,73468.76548196508,776
6,1,540.4833504944454,39510.324987165266,22248.340371036287,776
6,2,609.3928878285795,62584.98787734576,15124.648205924273,776
6,3,572.179728980811,84305.34674303862,25296.6850829291,776
6,4,1004.1946181491423,21131.91034995005,10799.091822075412,776
