turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,2563.0667478101404,164639.79924181456,118941.04591789225,366
1,1,593.7912814411244,44807.14511943475,42087.01912608635,366
1,2,528.1911129060472,41808.56216802763,23387.468861833462,366
1,3,609.7191313314562,54476.18693993184,32969.042887925476,366
1,4,831.3652221315127,23547.905014420354,20497.51504204696,366
2,0,2784.106988798001,221228.54192103833,162120.21992687843,470
2,1,440.7739766570399,66836.62291228467,56004.77324101308,470
2,2,444.4488248893033,59522.11216144073,31787.748651924077,470
2,3,631.9148706271328,73949.60679163756,45908.367565778244,470
2,4,1266.9693166245252,20920.200055675377,28419.330468163032,470
3,0,1882.1814815747198,261453.99768211888,167856.16875668423,470
3,1,494.6341227562464,65443.13987890275,62805.67094517554,470
3,2,165.60923418607496,77032.92229512939,27854.61784075385,470
3,3,555.2843351687225,79419.66442990435,48187.95229820666,470
3,4,666.6537894636757,39558.27107818235,29007.92767254818,470
4,0,1461.126803935647,286295.67776002234,180283.48442527695,470
4,1,463.9870352396189,69980.43913228653,69790.37867750974,470
4,2,100.73577646848625,89161.63610599957,29365.767241354988,470
4,3,522.3970815860633,68589.42578111535,51193.1996921407,470
4,4,374.00691064147867,58564.17674062087,29934.138814271504,470
5,0,1894.443265314721,273645.3713865003,65158.71784287949,470
5,1,444.2897007689189,64964.003679027635,20771.485279596203,470
5,2,280.3968348085347,80740.32249219269,14597.431297638885,470
5,3,698.159477469077,72197.39779249892,20178.31349323828,470
5,4,471.5972522681903,55743.647422781054,9611.487772406117,470
6,0,1081.2363302781055,289255.1517554377,49044.32240525272,470
6,1,259.0949055342741,71792.37392928309,17679.248935343163,470
6,2,141.9161244719312,87960.85122038324,8748.282878292195,470
6,3,392.32858592480653,75812.25659931073,14548.025913128758,470
6,4,287.8967143470937,53689.670006460714,8068.764678488606,470
7,0,2195.5142779234966,197619.6120089887,51246.94641944351,470
7,1,531.5906157005035,57583.34498886978,19754.769154851976,470
7,2,486.84718708842036,63313.54266274891,8460.57496781139,470
7,3,562.2291282312184,46850.9246411311,14857.584035981881,470
7,4,614.8473469033544,29871.799716238933,8174.0182607982615,470
8,0,2482.69784495164,165325.08045912656,54155.72107145078,835
8,1,378.5626390024884,44403.85883413346,18788.96978267326,835
8,2,663.107214427762,37230.35042278707,9432.307026798911,835
8,3,844.8900900938405,45549.30805095073,17022.49064519842,835
8,4,596.137901427549,38141.56315125532,8911.953616780189,835
