turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,2572.7304507192343,164671.14792734134,119306.50154556526,366
1,1,600.9801616771402,44845.733518441455,42147.792653322475,366
1,2,516.3467897128256,42202.26140110947,23437.216055910878,366
1,3,611.6465477230136,53829.68711798414,33067.356402548365,366
1,4,843.7569516062548,23793.465889806284,20654.136433783533,366
2,0,2371.494409973036,200700.23554504165,152270.90646675092,657
2,1,483.41824467630886,51167.16039496766,53222.153117028094,657
2,2,606.0237985231671,34493.51155850989,27993.553240329664,657
2,3,549.0115315536408,74151.64676263208,43433.17599967217,657
2,4,733.0408352199191,40887.916828932044,27622.024109720984,657
3,0,1405.3941518642043,282332.77158814843,172161.67362915026,657
3,1,346.8701284402039,69441.36145508672,63384.52708824603,657
3,2,348.74574840033625,53094.67949023915,30270.05440708929,657
3,3,193.52405327608864,100179.66976604745,47247.2847368798,657
3,4,516.2542217475755,59617.060876775126,31259.807396935117,657
4,0,2239.461287102652,225086.64426841476,63402.561804609955,657
4,1,563.9783067473982,59908.70573476173,21208.537090510024,657
4,2,537.3943338684313,33137.42219415902,13240.659859056539,657
4,3,520.5325004413775,76666.86757056112,17395.0384047812,657
4,4,617.5561460454448,55373.64876893287,11558.326450262191,657
5,0,2171.8279465457463,178643.2965067455,135286.95923431776,657
5,1,406.97923954073815,48400.483701040524,53751.267134150556,657
5,2,952.6429421811031,27074.627960311744,27477.86908737899,657
5,3,361.85269479338297,70331.83455513747,38337.01785134831,657
5,4,450.35307003052225,32836.35029025575,15720.805161439925,657
6,0,3914.135605460843,156109.27336902157,67621.30633259346,1022
6,1,618.3158960115044,41071.014989273724,21492.28127784467,1022
6,2,1454.126286874734,11839.462282735867,17181.086610240778,1022
6,3,669.4804481522225,73158.43652490884,18295.75773049231,1022
6,4,1172.2129744223828,30040.359572103138,10652.180714015707,1022
7,0,3264.467693364787,182614.8916678596,65919.20690405907,1388
7,1,383.0954969728446,50222.28918052666,20232.071804992396,1388
7,2,1353.003600670842,10025.722010840986,16167.558683778037,1388
7,3,689.2193515165823,83624.04378656471,19112.614751321013,1388
7,4,839.1492442045185,38742.83668992723,10406.96166396762,1388
8,0,2708.5770642100283,188611.14339885247,62031.74926138112,1754
8,1,299.3443978349304,56039.229382470556,19152.849987544876,1754
8,2,1356.3487891239254,12299.742474922406,15492.864805995408,1754
8,3,672.0359620897691,75046.85146832641,18833.25433382467,1754
8,4,380.84791516140336,45225.3200731331,8552.780134016164,1754
9,0,3337.8252098911676,113880.3476840246,99203.3473316072,2120
9,1,469.97488365367917,35249.845392875206,37143.52990014198,2120
9,2,1348.4136617724307,9706.031037084244,20317.049203470968,2120
9,3,592.0279859582214,39573.39690630734,24294.104126535334,2120
9,4,927.4086785068363,29351.074347757825,17448.66410145893,2120
