turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3226.420385379583,168769.01979658002,118250.71352470452,366
1,1,705.9499809657135,47016.47962218584,41886.42791987069,366
1,2,708.3174450359605,42312.32865144692,22901.06336405889,366
1,3,804.4797023107254,55257.890060781225,33104.78727387447,366
1,4,1007.6732570671833,24182.321462166037,20358.434966900462,366
2,0,2147.0328104376395,306103.67096694175,156966.04346067706,456
2,1,301.00689931650004,92031.88017727816,52657.663563679285,456
2,2,799.3267824800635,69728.75091830184,35397.845470542474,456
2,3,386.4649846702724,106803.27794585019,45054.48132970416,456
2,4,660.2341439708036,37539.76192551151,23856.05309675113,456
3,0,2575.240441961078,321904.04566264374,167738.01938748287,456
3,1,419.0946892375926,108531.22241833014,60976.153304119645,456
3,2,672.4730150537406,64484.572934393174,32923.08755571831,456
3,3,508.52664451982884,101852.62987786884,46856.656402800865,456
3,4,975.146093149916,47035.620432051604,26982.12212484405,456
4,0,1670.8605144129692,382907.9970200681,175702.84337702364,456
4,1,183.99842078955342,138156.98871321627,67965.52185440133,456
4,2,463.73264831663994,50609.56078144755,28801.097857499964,456
4,3,304.47171480823806,134210.2451121791,49261.05258893293,456
4,4,718.6577304985377,59931.202413225226,29675.17107618942,456
5,0,1308.7352341303558,510073.0620180088,191928.85261165345,456
5,1,62.81680746749868,162413.8896653727,73139.8399681231,456
5,2,406.1777271536805,94137.23753931622,32423.709380752167,456
5,3,276.4314855475323,158003.1941815903,55891.478733681535,456
5,4,563.3092139616444,95518.74063172963,30473.82452909666,456
6,0,1638.9459164265475,490865.33776101895,209632.96397241502,456
6,1,210.39707700888457,142277.08052549433,78718.28902436957,456
6,2,431.2175989342468,95596.34860596413,36924.1029423292,456
6,3,254.5585151300877,150599.2664990704,60239.37011330153,456
6,4,742.7727253533284,102392.6421304901,33751.2018924147,456
7,0,1400.3491225483322,427481.8711917844,214226.09953815903,456
7,1,199.4881076620158,128000.89562189608,82254.00923807474,456
7,2,581.3861001977729,64072.76641430021,34504.80473170244,456
7,3,312.9615293060188,153154.62240205795,63205.59521173996,456
7,4,306.5133853825247,82253.58675353014,34261.690356641884,456
8,0,2376.657284908569,425423.3116861457,231883.39273836545,456
8,1,182.6399344518514,117602.66878792725,84391.40931113249,456
8,2,905.7760291168347,65674.81980661344,40370.84014030494,456
8,3,334.35141536051015,155799.200318182,68641.77351351398,456
8,4,953.8899059793729,86346.62277342303,38479.36977341403,456
