turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3229.2856211775816,168973.7416103141,118508.3541559508,366
1,1,705.8973582931908,47386.11085705595,42081.9981418178,366
1,2,722.027166255463,41908.69426080889,23164.117540581545,366
1,3,792.354068769852,55627.91704469238,32985.79858569186,366
1,4,1009.0070278590756,24051.019447756877,20276.43988785959,366
2,0,2987.212494316725,215313.8779004876,149637.0037810954,583
2,1,525.4224250501339,70881.79056621593,52605.92787760797,583
2,2,731.8958904744724,43351.9022230324,27952.743681106178,583
2,3,838.7869552869892,77522.62050929881,44712.64596792078,583
2,4,891.1072235051296,23557.56460194045,24365.686254460485,583
3,0,3204.28482645912,241906.1005235144,172352.65428705752,614
3,1,657.7415604215521,86516.10015613533,65433.445351690345,614
3,2,691.6317098605773,59723.74320782465,32588.941551858945,614
3,3,761.1143689214715,71513.39797160536,47093.72644841574,614
3,4,1093.797187255519,24152.859187949078,27236.540935092475,614
4,0,2785.039438194596,264922.5180899134,180656.7583328192,614
4,1,422.3627831649192,98194.76086961241,68993.79026104715,614
4,2,745.7155658284815,60076.538051992015,31750.83860862303,614
4,3,672.1524190293561,78474.19294024153,51282.67509689414,614
4,4,944.8086701718395,28177.02622806749,28629.45436625489,614
5,0,2451.6556763119197,327795.0191010446,199717.43598807845,614
5,1,244.70081471422256,137228.01507009225,75082.48056910976,614
5,2,717.161768887324,61987.81864991888,34248.73885257641,614
5,3,709.3104870515998,96043.97269714085,59970.332030708916,614
5,4,780.4826056587735,32535.212683892663,30415.884535683348,614
6,0,2668.809772043636,327348.05214545346,142520.38064860343,614
6,1,199.55741609699407,138891.0933445634,50197.44852831279,614
6,2,703.3501353810149,57325.63952129133,25308.037511172573,614
6,3,869.6436883456773,101123.194189163,44032.768163039116,614
6,4,896.2585322199494,30008.12509043572,22982.126446078943,614
7,0,2228.5348823846507,295301.58395095216,57170.925660272056,614
7,1,191.981659817284,133849.28665267266,20118.71730359653,614
7,2,699.449478473593,32494.448594599202,12024.922046837411,614
7,3,605.1734851474956,98554.08389766986,16380.52333493769,614
7,4,731.9302589462782,30403.76480601039,8646.762974900426,614
8,0,2976.1313397718795,277006.443662406,188429.2508044643,652
8,1,208.19669997687828,121432.92550054705,65503.05942089396,652
8,2,1390.2413398147114,33591.53802185927,33681.00467078616,652
8,3,704.7957177208585,90533.06039880773,61809.00266120538,652
8,4,672.8975822594309,31448.919741191974,27436.18405157881,652
