turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3389.8191481897984,150498.21812945773,118989.86338163969,366
1,1,745.8552725831481,41503.62578274328,42264.3280526166,366
1,2,756.3414902489192,38720.97058169257,23635.399824487282,366
1,3,843.8211325198802,49732.02014688929,32808.81159051181,366
1,4,1043.8012528378513,20541.601618132598,20281.323914024,366
2,0,2866.633179886356,233321.6686172406,153162.44504959416,516
2,1,601.3893224752412,66908.08187084598,53745.87131401947,516
2,2,623.225461916752,64628.080196116614,33926.424203362185,516
2,3,606.9762412423689,79121.36687598084,41589.98159559962,516
2,4,1035.042154251994,22664.139674297152,23900.167936612866,516
3,0,3551.959655334757,272551.1066639958,138236.09664887786,516
3,1,764.0391109077451,80673.00773359169,46198.209257252565,516
3,2,739.6221101245469,79929.74329659375,31623.171508827298,516
3,3,1036.6348290199774,81268.6536155336,40867.78132537017,516
3,4,1011.6636052824873,30679.702018276734,19546.934557427838,516
4,0,2064.515516634431,321014.13556234934,51218.46434018353,516
4,1,619.5579453052393,88810.71384642881,16848.466694213377,516
4,2,338.45004646637176,90908.17602925573,11440.710178075815,516
4,3,400.2420298102202,102356.59486117559,15092.670994695376,516
4,4,706.2654950526,38938.65082548919,7836.6164731989575,516
5,0,2611.4949249254287,291830.3064681903,55002.35840154188,516
5,1,701.5413173663233,75383.19228104026,19629.110025160357,516
5,2,490.13570771392426,77743.29885489635,11537.534807001199,516
5,3,529.0052958488142,105086.94692129297,16726.54423250677,516
5,4,890.8126039963674,33616.86841096072,7109.1693368735605,516
6,0,2502.796418495489,265688.98046402977,52002.29338553072,516
6,1,529.3948224858063,74705.53814605513,17651.535754679368,516
6,2,637.2689082997967,67489.03578376478,11040.794122534347,516
6,3,640.8410325482739,87857.77740025391,16293.381900064505,516
6,4,695.291655161612,35636.62913395591,7016.581608252494,516
7,0,2761.30447917342,220241.99739697928,130035.79874594715,546
7,1,559.0224369981885,81101.26814022644,51229.3021411177,546
7,2,783.4678221736315,39782.629884559414,14411.39688252945,546
7,3,769.0775324604646,72997.53149841932,36463.70242882028,546
7,4,649.7366875411352,26360.56787377409,27931.397293479717,546
