turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3365.247907218091,151723.53908262996,119174.12393743369,366
1,1,738.78048919064,42085.61145239149,42192.602988633465,366
1,2,753.769387558377,38800.70327028188,23410.774858541106,366
1,3,831.2647129020537,50042.94644842889,33099.77356501561,366
1,4,1041.43331756702,20794.277911527686,20470.972525243502,366
2,0,3232.901124328598,192238.7510487573,143231.29818287012,640
2,1,794.6287158529069,51214.35479018278,52740.81335281855,640
2,2,757.3280624214207,41688.060320014076,27218.770798373454,640
2,3,640.5055110203097,76256.02159893766,39181.59052773854,640
2,4,1040.438835033961,23080.314339622764,24090.123503939572,640
3,0,3503.5446152255818,219496.69620752338,112453.76267311399,640
3,1,521.8958563402516,69684.97718919569,39848.524445384355,640
3,2,809.7338471581103,49123.64175796711,21496.101147221285,640
3,3,785.8268926871506,69977.4487422235,30190.94326919171,640
3,4,1386.0880190400694,30710.62851813705,20918.193811316643,640
4,0,4157.309008696186,190838.52020374153,56972.976671422955,1006
4,1,848.8352374342995,70947.36051442551,19284.094463750283,1006
4,2,940.1246624344433,29940.273078246806,10554.58284164847,1006
4,3,1066.0863831569175,58335.55006723541,15820.824243784344,1006
4,4,1302.2627256705257,31615.336543833808,11313.475122239854,1006
5,0,3849.1152961842895,227126.98827075923,60133.88862641964,1372
5,1,715.7262364063761,90290.2190491446,18658.96977788779,1372
5,2,655.0814814828178,32704.122102715024,9953.430971942205,1372
5,3,1218.7938782141314,66861.40433340697,19930.26061817054,1372
5,4,1259.513700080964,37271.242785492665,11591.227258419101,1372
6,0,3797.3285750759605,247415.96799574807,54461.592165930735,1738
6,1,510.9549262104785,97451.4128866663,17253.993584651253,1738
6,2,1414.8533961686326,43697.919965979774,11191.302092963535,1738
6,3,913.8696303382285,69696.4838891457,16293.215121508932,1738
6,4,957.6506223586213,36570.15125395628,9723.081366807022,1738
7,0,3208.297649973333,229142.2398045144,51067.193909573456,2104
7,1,438.2052165109807,87835.64313770604,17319.154184403797,2104
7,2,1204.5521418520516,31160.739305843483,10611.030156427143,2104
7,3,808.4779440322236,70243.25206281744,15102.073774761571,2104
7,4,757.0623475780774,39902.605298147406,8034.935793980941,2104
8,0,3400.59603068857,246424.59737001313,56654.82413429501,2470
8,1,373.151820449092,96180.20074946192,17815.45725613102,2470
8,2,1122.6933445686404,32325.458960985234,11264.528703120865,2470
8,3,1037.0596944888255,75356.84483041678,17539.348342005836,2470
8,4,867.6911711820123,42562.092829149195,10035.48983303729,2470
