turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3316.632251063851,140104.13204889468,131818.46487537248,366
1,1,740.7617694591893,36716.62954302038,47195.71019366769,366
1,2,738.6488134382946,37206.139241929566,26019.734462630877,366
1,3,811.0385284812559,46853.53855070613,35775.72847520891,366
1,4,1026.1831396851112,19327.824713238602,22827.291743865004,366
2,0,3112.528943389783,176367.44549009018,148443.81664574324,595
2,1,846.5697111224653,36170.34745760177,53663.40914560268,595
2,2,572.555186382992,56646.987331237724,32710.32457713614,595
2,3,722.5403095492696,53301.468330863936,37879.039832949755,595
2,4,970.8637363350557,30248.642370386762,24191.04309005466,595
3,0,2740.5223644598336,189162.2538972649,152634.59302023333,596
3,1,736.1659164256054,44019.52689540494,58246.62249913988,596
3,2,653.1858969054662,48326.44100080842,29615.313284630975,596
3,3,578.1844058593821,66577.98520686966,40636.83173834251,596
3,4,772.9861452693798,30238.300794181887,24135.825498119946,596
4,0,2748.1663796928074,193081.06328109693,155420.71530905797,596
4,1,649.978872619666,45621.87392299791,60824.81541316039,596
4,2,639.8350371850402,39764.665939587525,26508.82602217741,596
4,3,536.3016006381532,76313.98357911066,41668.31719934846,596
4,4,922.0508692499478,31380.539839400866,26418.75667437171,596
5,0,2538.1873253156623,219653.31849922123,165554.29433922772,596
5,1,583.6061534089152,58695.95065253688,65570.18968081605,596
5,2,715.9331502753113,35653.61389759657,27452.288326173377,596
5,3,381.5066963519744,89117.0679968716,45314.44174678366,596
5,4,857.1413252794613,36186.68595221618,27217.374585454643,596
6,0,2987.6994387668533,192931.47338944595,121180.84610499894,596
6,1,717.5769611424412,52568.50795847283,46970.24410472631,596
6,2,578.8967967958843,24129.921252447188,19817.719905968686,596
6,3,549.4787434422464,76340.70498825608,34251.71463789502,596
6,4,1141.7469373862814,39892.33919026986,20141.167456408915,596
7,0,2736.0294857149543,151720.54981563083,139906.44512916857,596
7,1,612.954940041267,50584.22900239685,54772.91143122046,596
7,2,709.9986470580327,15406.792742671045,18615.600644866074,596
7,3,649.3715258587935,57755.983851545265,40018.1567996223,596
7,4,763.7043727568613,27973.544219017676,26499.776253459724,596
8,0,3278.349204135907,140590.81369178125,165729.1785025126,903
8,1,713.8789581028204,43922.264039200716,63263.367109180836,903
8,2,1058.3351039410013,11526.626288179112,24854.872570491563,903
8,3,971.8768487421372,49725.56142202719,49994.7323672993,903
8,4,534.2582933499481,35416.36194237423,27616.206455540894,903
9,0,3050.353031514378,133196.53378162402,141669.88548482742,1269
9,1,879.5690534230376,46042.43256159621,54908.42507898638,1269
9,2,667.4710789553434,10726.265032770265,16973.78161240969,1269
9,3,493.3986990149432,40197.04195491733,40005.88151350706,1269
9,4,1009.9142001210537,36230.7942323402,29781.79727992429,1269
10,0,2943.1160988516585,111730.30041311991,164315.5290271876,1269
10,1,678.1177681530103,43882.864179814205,61815.766126588685,1269
10,2,810.8238477970197,11091.707302665014,24683.92081668331,1269
10,3,928.4214164799193,30811.312725061143,50152.13230390752,1269
10,4,525.7530664217091,25944.416205579542,27663.70978000807,1269
11,0,4575.510771730604,118563.2846206469,207071.19102308273,1383
11,1,738.5610788221811,43450.084102856556,79740.01514961498,1383
11,2,1506.2771027782867,9585.728926937745,33231.65750155086,1383
11,3,1366.9913954353385,32012.507779342726,60047.48843874084,1383
11,4,963.6811946947973,33514.96381150988,34052.029933176054,1383
12,0,2880.034098383355,110097.20119857129,206820.51235202735,1406
12,1,467.6143006519754,37436.60865354213,80471.68193591623,1406
12,2,754.0362675862497,6571.34237672548,32039.57199305072,1406
12,3,665.0062720936977,26725.654583602176,59773.09236272431,1406
12,4,993.3772580514319,39363.5955847015,34536.166060336065,1406
13,0,3197.548435503936,107126.3514784206,121786.53897798662,1771
13,1,784.1310350361878,35692.364442960265,46282.94900748491,1771
13,2,686.5416323015439,6801.6097151291015,19382.149155849136,1771
13,3,781.5272305535847,25397.7803545992,35417.90925019172,1771
13,4,945.34853761262,39234.59696573203,20703.531564460867,1771
