turn,player,productivity,solid_pollution,water_pollution,days_with_ecolabel
1,0,3306.3106898939172,139894.26309470125,130450.16970661283,366
1,1,734.0990480751889,36872.22034068384,46650.18608071916,366
1,2,738.0652174092525,37009.25758188013,25456.749902664433,366
1,3,817.2846210519339,46770.17753190873,35785.76334727014,366
1,4,1016.8618033575422,19242.60764022856,22557.470375959096,366
2,0,3504.935131458027,136207.28703881978,140163.88913495504,732
2,1,856.5989619521574,35874.371856874655,52761.18825793573,732
2,2,766.3090492283827,34631.36927205767,26783.143654547595,732
2,3,802.6827807815386,48507.44414003192,36625.28230933352,732
2,4,1079.3443394959484,17194.101769855526,23994.274913138208,732
3,0,3369.4346689989607,154656.0274783275,152675.41575147823,1063
3,1,676.7904776152727,41069.951561601716,57214.7424563672,1063
3,2,526.6279176347625,46435.560599359684,26476.2414811494,1063
3,3,732.4945453818709,45746.70978277772,40337.269335967714,1063
3,4,1433.5217283670547,21403.805534588406,28647.162477993894,1063
4,0,3520.6723659213867,160106.03304051614,170851.13642097314,1206
4,1,860.0255457548582,43278.58224222201,63479.06703191576,1206
4,2,610.284216632388,55110.64352968351,33606.16815958729,1206
4,3,1150.1483369604425,37407.46225701439,46807.710690868254,1206
4,4,900.2142665736978,24309.34501159623,26958.190538601833,1206
5,0,2717.087959163622,186710.73911783713,169417.47919861833,1206
5,1,714.5451723336993,47742.371001426494,65926.34461074576,1206
5,2,390.774727906375,64420.61368810687,28654.492070805874,1206
5,3,847.3427677658268,44022.53871362697,46756.6692242688,1206
5,4,764.4252911577208,30525.21571467679,28079.973292797888,1206
6,0,3056.140403769692,174246.39035584102,151206.36115364678,1206
6,1,1031.2318083640582,46696.85289034007,60703.270697394204,1206
6,2,377.6903918739948,63598.89493746609,21499.255052778735,1206
6,3,926.8637993867388,33741.83122688121,41332.034014651304,1206
6,4,720.3544041449006,30208.811301153662,27671.801388822525,1206
7,0,3230.2665778634955,149319.6495404128,156641.79709888273,1206
7,1,500.0576595700366,45144.57715546956,62385.350951221226,1206
7,2,619.4446917990148,42261.739158815064,25320.458369508517,1206
7,3,976.5566477718705,33090.389296834146,42263.2434986417,1206
7,4,1134.2075787225735,28822.943929294004,26672.744279511266,1206
8,0,3418.786311458571,86960.60784678237,164195.71490600077,1572
8,1,821.4727943064962,27724.49578141067,65547.61066144289,1572
8,2,803.0922406703645,23837.417450363842,24181.514749667283,1572
8,3,962.4240227147757,20217.007338596173,45579.931791519164,1572
8,4,831.7972537669347,15181.687276411682,28886.657703371417,1572
9,0,3799.2995114998903,72202.1644235097,155239.769574578,1938
9,1,909.5119118481247,27256.835050154576,59388.24852838213,1938
9,2,877.8774014012658,11308.113464383707,19215.917985797198,1938
9,3,893.1251557418979,19529.8303824905,44076.93785936301,1938
9,4,1118.7850425086021,14107.38552648093,32558.665201035685,1938
10,0,3406.2888161467285,64993.55154233554,195035.55421877024,2304
10,1,682.200689935272,25364.667925103284,75631.97862978629,2304
10,2,997.4381021031198,10168.632106702651,29525.552607522113,2304
10,3,947.8310755005773,18671.84734249853,56900.76088712942,2304
10,4,778.8189486077595,10788.40416803108,32977.262094332415,2304
11,0,3698.151707765937,57346.42639324966,115980.17497535606,2670
11,1,855.3191367816092,21905.977607248136,43750.116514294496,2670
11,2,1114.1738229852394,8914.419858986777,13306.97520047305,2670
11,3,904.2589842291259,15328.486747847799,33216.14253343203,2670
11,4,824.3997637699622,11197.542179166952,25706.940727156463,2670
12,0,3019.748995322222,47107.087610658506,196209.62952284163,3036
12,1,670.7302814099844,16816.66251976692,76938.47825877991,3036
12,2,851.4413415974932,6920.173613304568,27886.63184180371,3036
12,3,816.8296871282851,12651.47542417183,57735.769912604344,3036
12,4,680.7476851864592,10718.776053415193,33648.749509653666,3036
13,0,3353.583647592383,45552.46484227438,120054.39500290238,3401
13,1,809.4975103555255,16556.024606465173,45712.349445672284,3401
13,2,980.319120556107,6807.247976796725,20123.470510668594,3401
13,3,832.507115042305,12307.415956080418,35273.36099642446,3401
13,4,731.2599016384452,9881.77630293206,18945.21405013704,3401
