turn,player,budget,exra_turn,action
1,1,45,false,5b
1,3,80,false,5b
1,3,45,false,7a
1,4,90,false,7a
1,4,65,false,9
1,2,85,false,6
1,2,65,false,9
1,2,25,false,7a
2,4,85,false,7a
2,4,20,false,1
2,4,20,false,6
2,1,80,false,7a
2,1,55,false,5b
2,3,75,false,5b
2,3,40,false,4
2,2,80,false,7a
2,2,55,false,5a
3,2,80,false,2a:(P1%15;P2%75;P3%70;P4%80;)
3,1,20,false,1
3,4,20,true,5a
4,1,75,false,2b
4,1,75,false,7a
4,1,50,false,6
4,2,70,false,5b
4,2,35,false,7a
4,2,0,false,2b
4,4,80,false,7a
4,4,15,false,1
4,4,5,false,2b
4,3,35,false,5b
4,3,5,true,2b
5,3,75,false,6
5,3,35,false,5b
5,2,35,false,1
5,2,25,false,2b
5,4,90,false,7a
5,4,55,false,2b
5,4,55,false,3
5,1,75,false,7a
5,1,40,false,2b
5,1,0,false,1
5,1,20,true,5a
6,3,30,false,1
6,3,30,false,6
6,3,0,false,2b
6,4,85,false,7a
6,4,50,false,2b
6,4,50,false,9
6,1,45,false,1
6,1,45,false,6
6,1,25,false,7a
6,2,70,false,2b
6,2,70,false,3
6,2,30,false,6
7,2,75,false,9
7,2,25,false,2b
7,2,25,false,7a
7,4,40,false,1
7,4,40,false,4
7,1,85,false,3
7,1,45,false,5b
7,1,0,false,2b
7,3,80,false,3
7,3,0,false,1
8,1,85,false,7b
8,1,35,false,6
8,1,5,false,2b
8,4,60,false,9
8,4,20,false,6
8,3,80,false,6
8,3,40,false,9
8,2,65,false,2b
8,2,30,true,7a
9,4,40,false,1
9,1,75,false,2b
9,1,75,false,5b
9,1,40,false,7a
9,2,90,false,2b
9,2,70,false,9
9,2,30,false,7a
9,3,85,false,9
9,3,45,false,6
9,3,25,false,7a
