turn,player,budget,exra_turn,action
1,3,80,false,4
1,3,40,false,6
1,1,85,false,7b
1,1,35,false,5b
1,4,90,false,7b
1,4,40,false,9
1,2,85,false,9
1,2,45,false,3
2,3,75,false,5b
2,3,40,false,9
2,1,80,false,9
2,4,75,false,3
2,4,35,false,5b
2,2,75,false,5b
2,2,0,false,1
3,2,85,false,4
3,2,45,false,6
3,1,20,false,1
3,1,20,false,5a
3,4,85,false,7a
3,4,20,false,1
3,4,20,false,6
3,3,55,false,7a
3,3,30,false,5a
4,4,85,false,9
4,4,45,false,5b
4,2,85,false,5b
4,2,50,false,7b
4,1,90,false,3
4,1,50,false,4
4,3,80,false,5b
4,3,45,false,9
4,1,25,true,7a
5,2,85,false,2a:(P1%85;P2%80;P3%50;P4%35;)
5,4,10,false,1
5,3,25,false,6
6,2,85,false,6
6,2,65,false,5b
6,2,30,false,7a
6,3,65,false,2b
6,3,65,false,7a
6,1,75,false,7b
6,1,25,false,6
6,4,90,false,9
6,4,40,false,2b
6,1,0,true,2b
7,1,85,false,7a
7,1,40,false,5b
7,2,60,false,7a
7,2,35,false,5b
7,3,85,false,3
7,3,5,false,1
7,4,80,false,5a
7,4,20,false,1
8,4,85,false,5b
8,4,10,false,1
8,1,45,false,1
8,3,85,false,7b
8,3,35,false,6
8,3,5,false,2b
8,3,60,true,1
8,3,60,true,9
9,2,45,false,7a
9,2,20,false,6
9,3,40,false,1
9,3,40,false,6
9,1,90,false,5b
9,1,5,false,2b
9,4,75,false,2b
9,4,75,false,7a
9,4,50,false,9
